ID,Year,StateAbbreviation,None,D0,D1,D2,D3,D4,StatisticFormatID
174,2010,AZ,"72,335.38","41,699.44","16,458.73","3,031.51",0,0,1
175,2010,AZ,"72,796.73","41,238.09","16,698.63","3,031.51",0,0,1
176,2010,AZ,"72,839.11","41,195.71","16,458.73","3,031.51",0,0,1
177,2010,AZ,"8,883.14","105,151.68","78,133.29","17,957.92","3,953.04",0,1
178,2010,CA,"10,380.50","147,767.56","115,054.89","14,297.14",0,0,1
179,2010,CA,"10,380.50","147,767.56","115,348.61","33,555.88",0,0,1
180,2010,CA,"100,015.70","58,132.37","15,677.32","11,226.47",0,0,1
181,2010,CA,"101,295.11","56,852.96","17,367.65","6,773.13",0,0,1
182,2010,CA,"101,672.15","56,475.92","15,677.32","11,226.47",0,0,1
183,2010,CA,"102,147.75","56,000.32","16,945.96","6,773.13",0,0,1
184,2010,CA,"104,497.92","53,650.14","16,031.49","10,671.44",0,0,1
185,2010,CA,"105,438.68","52,709.38","17,251.81","9,299.42",0,0,1
186,2010,CA,"106,924.55","51,223.52","15,640.08","11,226.47",0,0,1
187,2010,CA,"107,159.35","50,988.71","15,640.08","11,226.47",0,0,1
188,2010,CA,"114,954.31","43,193.76","14,433.11","11,215.39",0,0,1
189,2010,CA,"115,159.70","42,988.37","15,640.08","11,226.47",0,0,1
190,2010,CA,"12,564.32","145,583.75","99,951.12","22,104.43",0,0,1
191,2010,CA,"124,826.44","33,321.63","3,385.19",0,0,0,1
192,2010,CA,"125,819.09","32,328.98","1,973.88",0,0,0,1
193,2010,CA,"128,577.03","29,571.04","13,564.91","11,009.32",0,0,1
194,2010,CA,"129,159.57","28,988.49","3,808.58",0,0,0,1
195,2010,CA,"135,125.49","23,022.58","12,773.52",375.66,0,0,1
196,2010,CA,"137,619.85","20,528.21","12,773.52","9,445.88",0,0,1
197,2010,CA,"138,311.59","19,836.48","12,773.52",375.66,0,0,1
198,2010,CA,"138,836.91","19,311.15","12,773.52",375.66,0,0,1
199,2010,CA,"139,120.07","19,027.99","12,773.52",375.66,0,0,1
200,2010,CA,"139,120.07","19,027.99","12,773.52","9,445.88",0,0,1
201,2010,CA,"139,290.07","18,858.00","9,592.68",375.66,0,0,1
202,2010,CA,"142,550.86","15,597.21","3,808.58",0,0,0,1
